# Energy spectrum of a cosmic ray isotope calculated in GALPROP run # 54_09b2000b.gz
# for Z=  1, A=  1, V= 0.000e+00 MV, R=  8.50 kpc. 
# The first column is E, the kinetic energy per nucleon after modulation, in MeV,
# and the second column contains E^2.00*dF/dE, where dF/dE is the spectral density of the flux of the isotope.
# The units of dF/dE are cm^-2*s^-1*sr^-1*MeV^-1, so E^2.00*dF/dE is in MeV^2.00*cm^-2*s^-1*sr^-1*Mev^-1.
#     Energy         Flux
  4.8608e+12   7.2299e-05 
  6.3191e+12   5.9282e-05 
  8.2148e+12   4.8612e-05 
  1.0679e+13   3.9867e-05 
  1.3883e+13   3.2697e-05 
  1.8048e+13   2.6820e-05 
  2.3462e+13   2.2002e-05 
  3.0501e+13   1.8051e-05 
  3.9651e+13   1.4812e-05 
  5.1547e+13   1.2156e-05 
  6.7011e+13   9.9773e-06 
  8.7114e+13   8.1907e-06 
  1.1325e+14   6.7252e-06 
  1.4722e+14   5.5230e-06 
  1.9139e+14   4.5367e-06 
  2.4881e+14   3.7274e-06 
  3.2345e+14   3.0632e-06 
  4.2048e+14   2.5180e-06 
  5.4663e+14   2.0705e-06 
  7.1061e+14   1.7030e-06 
  9.2380e+14   1.4013e-06 
  1.2009e+15   1.1534e-06 
  1.5612e+15   9.4978e-07 
  2.0296e+15   7.8245e-07 
  2.6385e+15   6.4492e-07 
  3.4300e+15   5.3185e-07 
  4.4590e+15   4.3886e-07 
  5.7967e+15   3.6237e-07 
  7.5357e+15   2.9942e-07 
  9.7964e+15   2.4759e-07 
